カテゴリ,文献,データベース名,URL
上古音(先秦BS),[Baxter2014],Baxter-Sagart System 1.1,https://ocbaxtersagart.lsait.lsa.umich.edu/
上古音(先秦Z),[鄭張尚芳2003],Wiktionary,https://en.wiktionary.org/wiki/Wiktionary:Main_Page
上古音(後漢),[Schuessler2007],(電子書籍),https://play.google.com/books/reader?id=0ZYBEAAAQBAJ&pg=GBS.PP1&hl=ja
中古音(魏晋),[丁邦新1975],小學堂 (古代漢字発音、上古音・中古音),https://xiaoxue.iis.sinica.edu.tw/
中古音(ONW),[Schuessler2007],(電子書籍),https://play.google.com/books/reader?id=0ZYBEAAAQBAJ&pg=GBS.PP1&hl=ja
中古音(隋唐),[鄭張尚芳2003],Wiktionary,https://en.wiktionary.org/wiki/Wiktionary:Main_Page
韻部・韻目(後漢),[羅常培1958],小學堂 (古代漢字発音、上古音・中古音),https://xiaoxue.iis.sinica.edu.tw/
韻部・韻目(隋唐),廣韻の韻目,小學堂 (古代漢字発音、上古音・中古音),https://xiaoxue.iis.sinica.edu.tw/
韻部・韻目(その他),各辞書に記載。,,
梵語音訳例,[兪敏 1984],梵漢對音查詢·後漢三國梵漢對音譜,http://www.kaom.net/sgy_fanhan.php
中国語押韻,[羅常培1958]など,篇韻データベース,https://suzukish.sakura.ne.jp/search/
上代日本語語彙,万葉集、日本書紀など,Oxford-NINJAL Corpus of Old Japanese,https://oncoj.ninjal.ac.jp/?lang=ja
中古日本語語彙,,古文辞書 - Weblio古語辞典,https://kobun.weblio.jp/
上代特殊仮名遣い,,上代特殊仮名遣 - Wikipedia,https://ja.wikipedia.org/wiki/%E4%B8%8A%E4%BB%A3%E7%89%B9%E6%AE%8A%E4%BB%AE%E5%90%8D%E9%81%A3
上代特殊仮名遣い,,万葉仮名｜国史大辞典・日本国語大辞典・日本大百科全書・世界大百科事典｜ジャパンナレッジ,https://japanknowledge.com/introduction/keyword.html?i=375
古代地名,和名抄、木簡など,奈良文化財研究所 古代地名検索システム,https://chimei.nabunken.go.jp/
歴史地名,『大日本地名辞書』など,歴史地名データ | 大学共同利用機関法人 人間文化研究機構   例） 本研究で利用した歴史地名辞書データは、人間文化研究機構およびH-GIS研究会の研究成果である。,https://www.nihu.jp/ja/publication/source_map
古代地名(読み仮名),和名抄,和名抄郡名一覧,http://kitagawa.la.coocan.jp/data/gunmei.html
国造,国造本紀,国造 - Wikipedia,https://ja.wikipedia.org/wiki/%E5%9B%BD%E9%80%A0#%E4%B8%80%E8%A6%A7
国造,[国史大辞典1979a],(書籍),
県主,(ソース不明),県主の一覧 - Wikipedia,https://ja.wikipedia.org/wiki/%E7%9C%8C%E4%B8%BB%E3%81%AE%E4%B8%80%E8%A6%A7
県主,[国史大辞典1979b],(書籍),
県主,(個別),和名抄以外の郡名出典一覧,https://chimei.nabunken.go.jp/?c=reference_gun
令制国,,令制国一覧 - Wikipedia,https://ja.wikipedia.org/wiki/%E4%BB%A4%E5%88%B6%E5%9B%BD%E4%B8%80%E8%A6%A7
地名,,角川日本地名大辞典 個別ページ,http://jlogos.com/docomosp/kobetsu_chimei.html?jid=ktim
遺跡GIS,,文化財総覧WebGIS,https://heritagemap.nabunken.go.jp/main
発掘調査報告書,自治体の埋蔵文化財発掘調査報告書など,発行機関一覧 （都道府県別） - 全国遺跡報告総覧,https://sitereports.nabunken.go.jp/ja/list
前方後円墳・前方後方墳,[奈良女]、前方後円墳集成,前方後円墳データベース,https://zenkoku-kofun.nara-hgis.jp/zenkoku_kofun_home.html